Peak CCU,Price (USD),Review Ratio,Web Exposure,,Price (USD),Peak CCU,,,Review Ratio,Peak CCU,,,Web Exposure,Peak CCU,,,,Peak CCU
141,24.99,4.2910699241786014,16.977011494252874,,24.99,141,,,4.291069924,141,,,16.97701149,141,,,,141
,,,,,,,,,,,,,,,,,,
243,2.49,8.182994454713494,1.064516129032258,,2.49,243,,,8.182994455,243,,,1.064516129,243,,,,243
,,,,,,,,,,,,,,,,,,
230,0,8.635281385281385,13.911877394636015,,0,230,,,8.635281385,230,,,13.91187739,230,,,,230
,,,,,,,,,,,,,,,,,,
471,39.99,1.4803523035230353,0.20689655172413793,,39.99,471,,,1.480352304,471,,,0.206896552,471,,,,471
,,,,,,,,,,,,,,,,,,
300,0,11.65018315018315,0.892720307,,0,300,,,11.65018315,300,,,0.89,300,,,,300
,,,,,,,,,,,,,,,,,,
364,39.39,13.6125,0,,39.39,364,,,13.6125,364,,,0.00,364,,,,364
,,,,,,,,,,,,,,,,,,
